restaurant name,rating,content,label,content_clean,Tokenized,predicted_subjectivity
Aman Restaurant,5,Nice place to eat at. Food nice. Price ok,1.0,Nice place to eat at Food nice Price,"[[('Nice', 'JJ'), ('place', 'NN'), ('to', 'TO'), ('eat', 'VB'), ('at', 'IN'), ('Food', 'NNP'), ('nice', 'JJ'), ('Price', 'NNP')]]",1.0
Kedai Makan Muhajirin,5,"I bought lontong and mixed rice. I was so happy the lontong is good. So good. The mixed rice which I have beef rendang, cockles and vegetables taste is outstanding. If u are at Toa Payoh in the morning don't miss this shop for breakfast. Worth the money. Outstanding overall experience",1.0,I bought and mixed rice I wa so happy the is good So good The mixed rice which I have beef cockle and vegetable taste is outstanding If u are at Toa in the morning dont miss this shop for breakfast Worth the money Outstanding overall experience,"[[('I', 'PRP'), ('bought', 'VBD'), ('and', 'CC'), ('mixed', 'JJ'), ('rice', 'NN'), ('I', 'PRP'), ('wa', 'VBP'), ('so', 'RB'), ('happy', 'JJ'), ('the', 'DT'), ('is', 'VBZ'), ('good', 'JJ'), ('So', 'RB'), ('good', 'JJ'), ('The', 'DT'), ('mixed', 'JJ'), ('rice', 'NN'), ('which', 'WDT'), ('I', 'PRP'), ('have', 'VBP'), ('beef', 'VBN'), ('cockle', 'NN'), ('and', 'CC'), ('vegetable', 'JJ'), ('taste', 'NN'), ('is', 'VBZ'), ('outstanding', 'JJ'), ('If', 'IN'), ('u', 'JJ'), ('are', 'VBP'), ('at', 'IN'), ('Toa', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('morning', 'NN'), ('dont', 'NN'), ('miss', 'NN'), ('this', 'DT'), ('shop', 'NN'), ('for', 'IN'), ('breakfast', 'NN'), ('Worth', 'IN'), ('the', 'DT'), ('money', 'NN'), ('Outstanding', 'VBG'), ('overall', 'JJ'), ('experience', 'NN')]]",0.5055555555555556
"ZITIMAMA'S, NTU",5,"Their pasta is way much better than Pastamania.
Price may not be so student friendly.  But at this point of time, there is a overall hike in food price for Singapore.  I am glad they didnt compromise on the quality.",1.0,Their is way much better than Price may not be so student friendly But at this point of time there is a overall hike in food price for I am glad they didnt compromise on the quality,"[[('Their', 'PRP$'), ('is', 'VBZ'), ('way', 'NN'), ('much', 'RB'), ('better', 'JJR'), ('than', 'IN'), ('Price', 'NNP'), ('may', 'MD'), ('not', 'RB'), ('be', 'VB'), ('so', 'RB'), ('student', 'JJ'), ('friendly', 'RB'), ('But', 'CC'), ('at', 'IN'), ('this', 'DT'), ('point', 'NN'), ('of', 'IN'), ('time', 'NN'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('overall', 'JJ'), ('hike', 'NN'), ('in', 'IN'), ('food', 'NN'), ('price', 'NN'), ('for', 'IN'), ('I', 'PRP'), ('am', 'VBP'), ('glad', 'JJ'), ('they', 'PRP'), ('didnt', 'VBP'), ('compromise', 'NN'), ('on', 'IN'), ('the', 'DT'), ('quality', 'NN')]]",0.5
Bangkok D.K Thai Food,4,Good place for thai korean foods...,1.0,Good place for food,"[[('Good', 'JJ'), ('place', 'NN'), ('for', 'IN'), ('food', 'NN')]]",0.6000000000000001
Yakiniku-GO @ Jurong Point,4,"Very decent Japanese BBQ chain!

As it’s name suggests, they do have a dine-in limit of 50 minutes per table, which actually is more than sufficient, given that the meals here are individually prepared, and are cooked within minutes.

Prices are rather affordable, but could add up really fast once you start ordering the ala carte dishes (100g of chicken at $3.90, super worth it!)

Will definitely return, given the quality and price! 👍🏻",1.0,Very decent chain As it  ’ s name they do have a limit of 50 minute per table which actually is more than sufficient given that the meal here are individually prepared and are within minute are rather affordable but could add up really fast once you start the ala carte dish 100g of chicken at 390 super worth it Will definitely return given the quality and price  thumbsup emoji modifier fitzpatrick type  1  2,"[[('Very', 'RB'), ('decent', 'JJ'), ('chain', 'NN'), ('As', 'IN'), ('it', 'PRP'), ('’', 'VBZ'), ('s', 'JJ'), ('name', 'NN'), ('they', 'PRP'), ('do', 'VBP'), ('have', 'VB'), ('a', 'DT'), ('limit', 'NN'), ('of', 'IN'), ('50', 'CD'), ('minute', 'NN'), ('per', 'IN'), ('table', 'NN'), ('which', 'WDT'), ('actually', 'RB'), ('is', 'VBZ'), ('more', 'JJR'), ('than', 'IN'), ('sufficient', 'JJ'), ('given', 'VBN'), ('that', 'IN'), ('the', 'DT'), ('meal', 'NN'), ('here', 'RB'), ('are', 'VBP'), ('individually', 'RB'), ('prepared', 'JJ'), ('and', 'CC'), ('are', 'VBP'), ('within', 'IN'), ('minute', 'NNS'), ('are', 'VBP'), ('rather', 'RB'), ('affordable', 'JJ'), ('but', 'CC'), ('could', 'MD'), ('add', 'VB'), ('up', 'RP'), ('really', 'RB'), ('fast', 'RB'), ('once', 'RB'), ('you', 'PRP'), ('start', 'VBP'), ('the', 'DT'), ('ala', 'NN'), ('carte', 'JJ'), ('dish', 'JJ'), ('100g', 'CD'), ('of', 'IN'), ('chicken', 'NN'), ('at', 'IN'), ('390', 'CD'), ('super', 'JJ'), ('worth', 'NN'), ('it', 'PRP'), ('Will', 'NNP'), ('definitely', 'RB'), ('return', 'VB'), ('given', 'VBN'), ('the', 'DT'), ('quality', 'NN'), ('and', 'CC'), ('price', 'NN'), ('thumbsup', 'NNS'), ('emoji', 'VBP'), ('modifier', 'JJR'), ('fitzpatrick', 'JJ'), ('type', 'NN'), ('1', 'CD'), ('2', 'CD')]]",0.5729166666666666
Malaysian Hup Kee Fishball Noodle (AMK),5,"The chef hand makes the fish balls and fish cakes. This is as authentic as it gets. Noodles (dried version) are al dente, topped with aromatic scallions and sauce. Be prepared to queue because everybody loves good food.",1.0,The chef hand make the fish ball and fish cake This is a authentic a it get dried version are al topped with aromatic scallion and sauce Be prepared to queue because everybody love good food,"[[('The', 'DT'), ('chef', 'NN'), ('hand', 'NN'), ('make', 'VBP'), ('the', 'DT'), ('fish', 'JJ'), ('ball', 'NN'), ('and', 'CC'), ('fish', 'JJ'), ('cake', 'NN'), ('This', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('authentic', 'JJ'), ('a', 'DT'), ('it', 'PRP'), ('get', 'VB'), ('dried', 'VBN'), ('version', 'NN'), ('are', 'VBP'), ('al', 'VBN'), ('topped', 'IN'), ('with', 'IN'), ('aromatic', 'JJ'), ('scallion', 'NN'), ('and', 'CC'), ('sauce', 'NN'), ('Be', 'NNP'), ('prepared', 'VBN'), ('to', 'TO'), ('queue', 'VB'), ('because', 'IN'), ('everybody', 'NN'), ('love', 'VBP'), ('good', 'JJ'), ('food', 'NN')]]",0.6375000000000001
Western express,5,Super place.,1.0,Super place,"[[('Super', 'NNP'), ('place', 'NN')]]",0.6666666666666666
Rathana Bhavan Indian Vegetarian Restaurant (B2 Kopitiam) - Yishun North Point,5,Friendly customer service and very delicious food..😍,1.0,Friendly customer service and very delicious food heart eyes,"[[('Friendly', 'RB'), ('customer', 'NN'), ('service', 'NN'), ('and', 'CC'), ('very', 'RB'), ('delicious', 'JJ'), ('food', 'NN'), ('heart', 'NN'), ('eyes', 'NNS')]]",0.75
Happy Joy Restaurant,5,"i have never been to this restaurant or hotel. However, recently, i need to organise a little gathering in this vicinity. Happy Joy came up in the search. So i took a gamble. Ah Heng has been absolutely professional and helpful, not only in the arrangements, but his recommendations for ordering of food. The coffee pork ribs and the fried egg white scallops turned out to be really superb. The cuisine is Cantonese and though the pricing appeared steep initially but the servings is pretty substantial. Am glad to find another awesome restaurant in the vicinity. Thank you, Ah Heng!!",1.0,i have never been to this restaurant or hotel However recently i need to a little gathering in this vicinity Happy Joy came up in the search So i took a gamble Ah ha been absolutely professional and helpful not only in the arrangement but his recommendation for of food The coffee pork rib and the fried egg white scallop turned out to be really superb The cuisine is and though the steep initially but the serving is pretty substantial Am glad to find another awesome restaurant in the vicinity Thank you Ah,"[[('i', 'NNS'), ('have', 'VBP'), ('never', 'RB'), ('been', 'VBN'), ('to', 'TO'), ('this', 'DT'), ('restaurant', 'NN'), ('or', 'CC'), ('hotel', 'NN'), ('However', 'RB'), ('recently', 'RB'), ('i', 'VBP'), ('need', 'VBP'), ('to', 'TO'), ('a', 'DT'), ('little', 'JJ'), ('gathering', 'NN'), ('in', 'IN'), ('this', 'DT'), ('vicinity', 'NN'), ('Happy', 'NNP'), ('Joy', 'NNP'), ('came', 'VBD'), ('up', 'RP'), ('in', 'IN'), ('the', 'DT'), ('search', 'NN'), ('So', 'NNP'), ('i', 'JJ'), ('took', 'VBD'), ('a', 'DT'), ('gamble', 'JJ'), ('Ah', 'NNP'), ('ha', 'NN'), ('been', 'VBN'), ('absolutely', 'RB'), ('professional', 'JJ'), ('and', 'CC'), ('helpful', 'JJ'), ('not', 'RB'), ('only', 'RB'), ('in', 'IN'), ('the', 'DT'), ('arrangement', 'NN'), ('but', 'CC'), ('his', 'PRP$'), ('recommendation', 'NN'), ('for', 'IN'), ('of', 'IN'), ('food', 'NN'), ('The', 'DT'), ('coffee', 'NN'), ('pork', 'NN'), ('rib', 'NN'), ('and', 'CC'), ('the', 'DT'), ('fried', 'JJ'), ('egg', 'NN'), ('white', 'JJ'), ('scallop', 'NN'), ('turned', 'VBD'), ('out', 'RP'), ('to', 'TO'), ('be', 'VB'), ('really', 'RB'), ('superb', 'VB'), ('The', 'DT'), ('cuisine', 'NN'), ('is', 'VBZ'), ('and', 'CC'), ('though', 'IN'), ('the', 'DT'), ('steep', 'JJ'), ('initially', 'RB'), ('but', 'CC'), ('the', 'DT'), ('serving', 'NN'), ('is', 'VBZ'), ('pretty', 'JJ'), ('substantial', 'JJ'), ('Am', 'NNP'), ('glad', 'NN'), ('to', 'TO'), ('find', 'VB'), ('another', 'DT'), ('awesome', 'JJ'), ('restaurant', 'NN'), ('in', 'IN'), ('the', 'DT'), ('vicinity', 'NN'), ('Thank', 'NNP'), ('you', 'PRP'), ('Ah', 'VBP')]]",0.5875
JWS Grille Factory,5,"The steak were absolutely delicious, perfect medium steak..
Thanks for the free nuggets for the birthday freebies!
We ordered via food panda, order# x0nh-guj3.
Cheers team.. Next time again 😍👌🏽",1.0,The steak were absolutely delicious perfect medium steak Thanks for the free nugget for the birthday We ordered via food panda order x0nhguj3 team Next time again  heart eyes ok hand emoji modifier fitzpatrick type  4,"[[('The', 'DT'), ('steak', 'NN'), ('were', 'VBD'), ('absolutely', 'RB'), ('delicious', 'JJ'), ('perfect', 'JJ'), ('medium', 'NN'), ('steak', 'NN'), ('Thanks', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('free', 'JJ'), ('nugget', 'NN'), ('for', 'IN'), ('the', 'DT'), ('birthday', 'NN'), ('We', 'PRP'), ('ordered', 'VBD'), ('via', 'IN'), ('food', 'NN'), ('panda', 'NN'), ('order', 'NN'), ('x0nhguj3', 'NNP'), ('team', 'NN'), ('Next', 'NNP'), ('time', 'NN'), ('again', 'RB'), ('heart', 'NN'), ('eyes', 'NNS'), ('ok', 'JJ'), ('hand', 'NN'), ('emoji', 'NN'), ('modifier', 'NN'), ('fitzpatrick', 'JJ'), ('type', 'NN'), ('4', 'CD')]]",0.5833333333333334
Srisun,5,"I like their pratas because not so oily, and due to the crowd, pratas are fresh and warm.",1.0,I like their because not so oily and due to the crowd are fresh and warm,"[[('I', 'PRP'), ('like', 'VBP'), ('their', 'PRP$'), ('because', 'IN'), ('not', 'RB'), ('so', 'RB'), ('oily', 'RB'), ('and', 'CC'), ('due', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('crowd', 'NN'), ('are', 'VBP'), ('fresh', 'JJ'), ('and', 'CC'), ('warm', 'JJ')]]",0.4916666666666667
Chirashi Sora,5,Our 3rd time here . A really nice drinking chillout izakaya place that we chanced upon .  We popped in for drinks once and were  surprised that the food  here are really good . Has been a weekly meetup place since that . Highly recommended !,1.0,Our 3rd time here A really nice drinking place that we upon We in for drink once and were that the food here are really good been a weekly place since that Highly,"[[('Our', 'PRP$'), ('3rd', 'CD'), ('time', 'NN'), ('here', 'RB'), ('A', 'NNP'), ('really', 'RB'), ('nice', 'JJ'), ('drinking', 'VBG'), ('place', 'NN'), ('that', 'IN'), ('we', 'PRP'), ('upon', 'VBP'), ('We', 'PRP'), ('in', 'IN'), ('for', 'IN'), ('drink', 'NN'), ('once', 'RB'), ('and', 'CC'), ('were', 'VBD'), ('that', 'IN'), ('the', 'DT'), ('food', 'NN'), ('here', 'RB'), ('are', 'VBP'), ('really', 'RB'), ('good', 'JJ'), ('been', 'VBN'), ('a', 'DT'), ('weekly', 'JJ'), ('place', 'NN'), ('since', 'IN'), ('that', 'DT'), ('Highly', 'NNP')]]",0.535
Curry Times,4,"3.5 stars. Ordered the chicken curry with prata and yam paste. The curry was delicious, thick and flavourful. The prata can be crispier. The yam paste was at best average, tasted powdery, not the authentic orh nee.",1.0,35 star Ordered the chicken curry with and yam paste The curry wa delicious thick and The can be The yam paste wa at best average tasted powdery not the authentic nee,"[[('35', 'CD'), ('star', 'NN'), ('Ordered', 'VBD'), ('the', 'DT'), ('chicken', 'NN'), ('curry', 'NN'), ('with', 'IN'), ('and', 'CC'), ('yam', 'VB'), ('paste', 'NN'), ('The', 'DT'), ('curry', 'NN'), ('wa', 'VBP'), ('delicious', 'JJ'), ('thick', 'NN'), ('and', 'CC'), ('The', 'DT'), ('can', 'MD'), ('be', 'VB'), ('The', 'DT'), ('yam', 'JJ'), ('paste', 'NN'), ('wa', 'NN'), ('at', 'IN'), ('best', 'JJS'), ('average', 'NN'), ('tasted', 'VBD'), ('powdery', 'NN'), ('not', 'RB'), ('the', 'DT'), ('authentic', 'JJ'), ('nee', 'NN')]]",0.6458333333333333
Sembawang Traditional Claypot Rice,4,"We tried three different carbo - bee hoon, thick noodles and claypot rice. They were all yummy! Fortunately, for us, we ordered in advance; if not, we need to wait at least 30 minutes for the claypot rice.",1.0,We tried three different carbo bee hoon thick noodle and rice They were all yummy Fortunately for u we ordered in advance if not we need to wait at least 30 minute for the rice,"[[('We', 'PRP'), ('tried', 'VBD'), ('three', 'CD'), ('different', 'JJ'), ('carbo', 'NN'), ('bee', 'NN'), ('hoon', 'NN'), ('thick', 'NN'), ('noodle', 'NN'), ('and', 'CC'), ('rice', 'NN'), ('They', 'PRP'), ('were', 'VBD'), ('all', 'DT'), ('yummy', 'NNS'), ('Fortunately', 'RB'), ('for', 'IN'), ('u', 'NN'), ('we', 'PRP'), ('ordered', 'VBD'), ('in', 'IN'), ('advance', 'NN'), ('if', 'IN'), ('not', 'RB'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('wait', 'VB'), ('at', 'IN'), ('least', 'JJS'), ('30', 'CD'), ('minute', 'NN'), ('for', 'IN'), ('the', 'DT'), ('rice', 'NN')]]",0.54375
Sembawang Traditional Claypot Rice,4,"Be prepared for one hr wait caz the Claypot rice was cooked from scratch! Tried the salted egg bitter, hakka fried pork, and of course Claypot rice. They were amazing",1.0,Be prepared for one wait the rice wa from scratch Tried the salted egg bitter fried pork and of course rice They were amazing,"[[('Be', 'VB'), ('prepared', 'VBN'), ('for', 'IN'), ('one', 'CD'), ('wait', 'NN'), ('the', 'DT'), ('rice', 'NN'), ('wa', 'NN'), ('from', 'IN'), ('scratch', 'NN'), ('Tried', 'VBD'), ('the', 'DT'), ('salted', 'VBN'), ('egg', 'NN'), ('bitter', 'NN'), ('fried', 'VBN'), ('pork', 'NN'), ('and', 'CC'), ('of', 'IN'), ('course', 'NN'), ('rice', 'NN'), ('They', 'PRP'), ('were', 'VBD'), ('amazing', 'VBG')]]",0.7
Gu Ma Jia Private Kitchen,4,"The food is all very delicious. Went there to get a whole fish, which I looked forward to but too bad, they are out of all the whole fish and crabs. So we went ahead to order the rest and its all delicious. Worth the price. The place was very quiet at 7pm, as if I booked the whole place for myself. Service was great. Just too bad I can't get my whole fish. Will definitely come back for more, hopefully there's a whole fish available next.",1.0,The food is all very delicious Went there to get a whole fish which I forward to but too bad they are out of all the whole fish and crab So we went ahead to order the rest and it all delicious Worth the price The place wa very quiet at 7pm a if I booked the whole place for myself Service wa great Just too bad I cant get my whole fish Will definitely come back for more hopefully there a whole fish available next,"[[('The', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('all', 'DT'), ('very', 'RB'), ('delicious', 'JJ'), ('Went', 'NNP'), ('there', 'EX'), ('to', 'TO'), ('get', 'VB'), ('a', 'DT'), ('whole', 'JJ'), ('fish', 'NN'), ('which', 'WDT'), ('I', 'PRP'), ('forward', 'VBP'), ('to', 'TO'), ('but', 'CC'), ('too', 'RB'), ('bad', 'JJ'), ('they', 'PRP'), ('are', 'VBP'), ('out', 'IN'), ('of', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('whole', 'JJ'), ('fish', 'NN'), ('and', 'CC'), ('crab', 'NN'), ('So', 'IN'), ('we', 'PRP'), ('went', 'VBD'), ('ahead', 'RB'), ('to', 'TO'), ('order', 'NN'), ('the', 'DT'), ('rest', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('all', 'DT'), ('delicious', 'JJ'), ('Worth', 'NNP'), ('the', 'DT'), ('price', 'NN'), ('The', 'DT'), ('place', 'NN'), ('wa', 'JJ'), ('very', 'RB'), ('quiet', 'JJ'), ('at', 'IN'), ('7pm', 'CD'), ('a', 'DT'), ('if', 'IN'), ('I', 'PRP'), ('booked', 'VBD'), ('the', 'DT'), ('whole', 'JJ'), ('place', 'NN'), ('for', 'IN'), ('myself', 'PRP'), ('Service', 'NNP'), ('wa', 'VBD'), ('great', 'JJ'), ('Just', 'NNP'), ('too', 'RB'), ('bad', 'JJ'), ('I', 'PRP'), ('cant', 'VBP'), ('get', 'VB'), ('my', 'PRP$'), ('whole', 'JJ'), ('fish', 'NN'), ('Will', 'NNP'), ('definitely', 'RB'), ('come', 'VBP'), ('back', 'RB'), ('for', 'IN'), ('more', 'RBR'), ('hopefully', 'RB'), ('there', 'EX'), ('a', 'DT'), ('whole', 'JJ'), ('fish', 'NN'), ('available', 'JJ'), ('next', 'JJ')]]",0.47156862745098044
ANDES by ASTONS @ SAFRA Toa Payoh,5,"ASTONS in Singapore is awesome! I always love the value for money. Their food is delicious, generous. Especially love their pasta salad! Yummy max. It's usually packed with people especially during weekend evenings.",1.0,in is awesome I always love the value for money Their food is delicious generous Especially love their salad Yummy Its usually with people especially during weekend evening,"[[('in', 'IN'), ('is', 'VBZ'), ('awesome', 'JJ'), ('I', 'PRP'), ('always', 'RB'), ('love', 'VBP'), ('the', 'DT'), ('value', 'NN'), ('for', 'IN'), ('money', 'NN'), ('Their', 'PRP$'), ('food', 'NN'), ('is', 'VBZ'), ('delicious', 'JJ'), ('generous', 'JJ'), ('Especially', 'RB'), ('love', 'VBP'), ('their', 'PRP$'), ('salad', 'JJ'), ('Yummy', 'NNP'), ('Its', 'PRP$'), ('usually', 'RB'), ('with', 'IN'), ('people', 'NNS'), ('especially', 'RB'), ('during', 'IN'), ('weekend', 'NN'), ('evening', 'NN')]]",0.8083333333333332
Malaysia Local Delights,5,"Can’t go Malaysia now, at least can come here",1.0,Can  ’ t go now at least can come here,"[[('Can', 'MD'), ('’', 'VB'), ('t', 'JJ'), ('go', 'VB'), ('now', 'RB'), ('at', 'IN'), ('least', 'JJS'), ('can', 'MD'), ('come', 'VB'), ('here', 'RB')]]",0.4
Xin Peng Chinese Restaurant,4,Value for money. Taste quite good,1.0,Value for money Taste quite good,"[[('Value', 'NNP'), ('for', 'IN'), ('money', 'NN'), ('Taste', 'NNP'), ('quite', 'RB'), ('good', 'JJ')]]",0.6000000000000001
The Malayan Council,5,"Amazing experience for my birthday celebration two nights ago! Food was delicious as always, portions were huge too. The lambshank mandhi I ordered was tender and soft. Ondeh2 cake tasted great too. Always loved the Malayan Council hospitality, as experienced at other outlets 👍🏼 Thank you to the friendly staff for making sure we enjoyed our dinner there!",1.0,Amazing experience for my birthday celebration two night ago Food wa delicious a always portion were huge too The I ordered wa tender and soft Ondeh2 cake tasted great too Always the Council hospitality a experienced at other outlet  thumbsup emoji modifier fitzpatrick type  3 Thank you to the friendly staff for making sure we our dinner there,"[[('Amazing', 'JJ'), ('experience', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('birthday', 'JJ'), ('celebration', 'NN'), ('two', 'CD'), ('night', 'NN'), ('ago', 'RB'), ('Food', 'NNP'), ('wa', 'VBP'), ('delicious', 'VBZ'), ('a', 'DT'), ('always', 'RB'), ('portion', 'NN'), ('were', 'VBD'), ('huge', 'JJ'), ('too', 'RB'), ('The', 'DT'), ('I', 'PRP'), ('ordered', 'VBD'), ('wa', 'JJ'), ('tender', 'NN'), ('and', 'CC'), ('soft', 'JJ'), ('Ondeh2', 'NNP'), ('cake', 'NN'), ('tasted', 'VBD'), ('great', 'JJ'), ('too', 'RB'), ('Always', 'VBZ'), ('the', 'DT'), ('Council', 'NNP'), ('hospitality', 'NN'), ('a', 'DT'), ('experienced', 'VBN'), ('at', 'IN'), ('other', 'JJ'), ('outlet', 'NN'), ('thumbsup', 'NN'), ('emoji', 'NN'), ('modifier', 'JJR'), ('fitzpatrick', 'JJ'), ('type', 'NN'), ('3', 'CD'), ('Thank', 'NNP'), ('you', 'PRP'), ('to', 'TO'), ('the', 'DT'), ('friendly', 'JJ'), ('staff', 'NN'), ('for', 'IN'), ('making', 'VBG'), ('sure', 'JJ'), ('we', 'PRP'), ('our', 'PRP$'), ('dinner', 'NN'), ('there', 'RB')]]",0.729320987654321
Pin Hsiang Family Restaurant,2,Utterly disappointed with this family restaurant. Maybe because family so waiter & waitress who looks like bro & sis are super grumpy and rude. You step into the restaurant and no basic manners to greet customer. Nevermind. Tell them number of pax and get rude reply. Maybe they are not short of biz. Prices are not cheap for a hdb restaurant. Would not recommend.,0.0,Utterly disappointed with this family restaurant Maybe because family so waiter waitress who look like si are super grumpy and rude You step into the restaurant and no basic manner to greet customer Tell them number of pax and get rude reply Maybe they are not short of biz are not cheap for a restaurant Would not recommend,"[[('Utterly', 'RB'), ('disappointed', 'VBN'), ('with', 'IN'), ('this', 'DT'), ('family', 'NN'), ('restaurant', 'NN'), ('Maybe', 'RB'), ('because', 'IN'), ('family', 'NN'), ('so', 'RB'), ('waiter', 'JJ'), ('waitress', 'NN'), ('who', 'WP'), ('look', 'VBP'), ('like', 'IN'), ('si', 'NNS'), ('are', 'VBP'), ('super', 'JJ'), ('grumpy', 'NN'), ('and', 'CC'), ('rude', 'NN'), ('You', 'PRP'), ('step', 'VBP'), ('into', 'IN'), ('the', 'DT'), ('restaurant', 'NN'), ('and', 'CC'), ('no', 'DT'), ('basic', 'JJ'), ('manner', 'NN'), ('to', 'TO'), ('greet', 'VB'), ('customer', 'NN'), ('Tell', 'NNP'), ('them', 'PRP'), ('number', 'NN'), ('of', 'IN'), ('pax', 'NN'), ('and', 'CC'), ('get', 'VB'), ('rude', 'JJ'), ('reply', 'NN'), ('Maybe', 'RB'), ('they', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('short', 'JJ'), ('of', 'IN'), ('biz', 'NN'), ('are', 'VBP'), ('not', 'RB'), ('cheap', 'JJ'), ('for', 'IN'), ('a', 'DT'), ('restaurant', 'NN'), ('Would', 'MD'), ('not', 'RB'), ('recommend', 'VB')]]",0.5345238095238095
Kedai Makan Muhajirin,4,"6.30am.Nasi lemak.mee siam.lontong.mee rebus.mee soto,is ready for breakfast.Their mee rebus is fantastic when add in tempeh and tahu.
Their lunch is also ready by 1030am.
It's cheap and all their dishes are good and fresh as the Pak Chik gets everything at the nearby market.Never come across any Malay stall compatible to this Stall in terms of good quality food.good pricing for all walk of life.",1.0,630amNasi ready for rebus is fantastic when add in and Their lunch is also ready by 1030am Its cheap and all their dish are good and fresh a the get everything at the nearby come across any stall compatible to this Stall in term of good quality for all walk of life,"[[('630amNasi', 'CD'), ('ready', 'JJ'), ('for', 'IN'), ('rebus', 'NN'), ('is', 'VBZ'), ('fantastic', 'JJ'), ('when', 'WRB'), ('add', 'NN'), ('in', 'IN'), ('and', 'CC'), ('Their', 'NNP'), ('lunch', 'NN'), ('is', 'VBZ'), ('also', 'RB'), ('ready', 'JJ'), ('by', 'IN'), ('1030am', 'CD'), ('Its', 'PRP$'), ('cheap', 'NN'), ('and', 'CC'), ('all', 'DT'), ('their', 'PRP$'), ('dish', 'NN'), ('are', 'VBP'), ('good', 'JJ'), ('and', 'CC'), ('fresh', 'JJ'), ('a', 'DT'), ('the', 'DT'), ('get', 'NN'), ('everything', 'NN'), ('at', 'IN'), ('the', 'DT'), ('nearby', 'JJ'), ('come', 'JJ'), ('across', 'IN'), ('any', 'DT'), ('stall', 'NN'), ('compatible', 'JJ'), ('to', 'TO'), ('this', 'DT'), ('Stall', 'NNP'), ('in', 'IN'), ('term', 'NN'), ('of', 'IN'), ('good', 'JJ'), ('quality', 'NN'), ('for', 'IN'), ('all', 'DT'), ('walk', 'NN'), ('of', 'IN'), ('life', 'NN')]]",0.6142857142857142
Springleaf Prata Place - Thongsoon,5,"Totally awesome place to go for Prata. Conveniently located at Springleaf TEL, exit 2.
The plain prata is so good. If you like crispy prata, you have to try their cheese prata.
Also tried their Sugar Paper which was so crispy, thin and good. We couldn't get enough and ordered another one.
HIGHLY Recommended.",1.0,Totally awesome place to go for Conveniently at exit 2 The plain is so good If you like crispy you have to try their cheese Also tried their Sugar Paper which wa so crispy thin and good We get enough and ordered another one HIGHLY,"[[('Totally', 'RB'), ('awesome', 'JJ'), ('place', 'NN'), ('to', 'TO'), ('go', 'VB'), ('for', 'IN'), ('Conveniently', 'RB'), ('at', 'IN'), ('exit', 'NN'), ('2', 'CD'), ('The', 'DT'), ('plain', 'NN'), ('is', 'VBZ'), ('so', 'RB'), ('good', 'JJ'), ('If', 'IN'), ('you', 'PRP'), ('like', 'VBP'), ('crispy', 'VB'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('try', 'VB'), ('their', 'PRP$'), ('cheese', 'NN'), ('Also', 'RB'), ('tried', 'VBD'), ('their', 'PRP$'), ('Sugar', 'NNP'), ('Paper', 'NNP'), ('which', 'WDT'), ('wa', 'VBP'), ('so', 'RB'), ('crispy', 'JJ'), ('thin', 'JJ'), ('and', 'CC'), ('good', 'JJ'), ('We', 'PRP'), ('get', 'VBP'), ('enough', 'JJ'), ('and', 'CC'), ('ordered', 'VBD'), ('another', 'DT'), ('one', 'CD'), ('HIGHLY', 'NN')]]",0.6353061224489797
Sakunthala’s Restaurant,4,"Lady with bad attitude is no longer there. A few gentlemen with great attitude made my day.

Food is great",1.0,Lady with bad attitude is no longer there A few gentleman with great attitude made my day Food is great,"[[('Lady', 'NN'), ('with', 'IN'), ('bad', 'JJ'), ('attitude', 'NN'), ('is', 'VBZ'), ('no', 'RB'), ('longer', 'RB'), ('there', 'EX'), ('A', 'NNP'), ('few', 'JJ'), ('gentleman', 'NN'), ('with', 'IN'), ('great', 'JJ'), ('attitude', 'NN'), ('made', 'VBD'), ('my', 'PRP$'), ('day', 'NN'), ('Food', 'NNP'), ('is', 'VBZ'), ('great', 'JJ')]]",0.5666666666666667
Xing Hua 兴化,5,Food is tasty and staff very friendly 👍🏻,1.0,Food is tasty and staff very friendly  thumbsup emoji modifier fitzpatrick type  1  2,"[[('Food', 'NN'), ('is', 'VBZ'), ('tasty', 'JJ'), ('and', 'CC'), ('staff', 'NN'), ('very', 'RB'), ('friendly', 'JJ'), ('thumbsup', 'NN'), ('emoji', 'NN'), ('modifier', 'JJR'), ('fitzpatrick', 'JJ'), ('type', 'NN'), ('1', 'CD'), ('2', 'CD')]]",0.65
